code_region,nom_region,annee,mois,date,saison,trimestre,trend_index,temp_moy_mensuelle_region,temp_max_region,temp_min_region,precipitations_mm_region,humidite_region,vent_moyen_region,insolation_region
11,Île-de-France,1954,10,1954-10-01,automne,4,4.75,12.4625,17.175,8.4875,32.05,84.66666666666667,3.557142857142857,6574.5
11,Île-de-France,1954,11,1954-11-01,automne,4,4.833333333333333,7.612500000000001,11.0875,3.9375,27.8125,86.66666666666667,4.257142857142857,3615.0
11,Île-de-France,1954,12,1954-12-01,hiver,4,4.916666666666667,6.3,8.7875,3.75,34.325,91.0,4.857142857142857,1368.0
11,Île-de-France,1955,1,1955-01-01,hiver,1,5.0,3.4375,6.6125,0.825,78.15,89.5,4.5,2047.5
11,Île-de-France,1955,2,1955-02-01,hiver,1,5.083333333333333,3.1125,6.0125,0.7375,59.3125,86.0,4.857142857142857,3316.5
11,Île-de-France,1955,3,1955-03-01,printemps,1,5.166666666666667,3.6625,8.2375,-0.2625,19.7625,75.5,5.457142857142857,8374.5
11,Île-de-France,1955,4,1955-04-01,printemps,2,5.25,10.425,16.3875,4.6,6.875,66.0,4.214285714285714,12907.5
11,Île-de-France,1955,5,1955-05-01,printemps,2,5.333333333333333,12.15,17.6,6.8,55.6375,73.66666666666667,5.2,12955.5
11,Île-de-France,1955,6,1955-06-01,ete,2,5.416666666666667,16.5125,21.3125,11.375,53.1875,,3.6285714285714286,10110.0
11,Île-de-France,1955,7,1955-07-01,ete,3,5.5,19.075,24.5625,14.1,68.275,75.5,4.014285714285714,12106.5
11,Île-de-France,1955,8,1955-08-01,ete,3,5.583333333333333,18.7125,24.5875,13.075,18.2625,72.33333333333333,2.9714285714285715,12858.0
11,Île-de-France,1955,9,1955-09-01,automne,3,5.666666666666667,15.0125,20.825,9.8,34.15,79.0,3.1857142857142855,9712.5
11,Île-de-France,1955,10,1955-10-01,automne,4,5.75,9.525,14.25,5.425,43.7875,84.33333333333333,3.185714285714286,6646.5
11,Île-de-France,1955,11,1955-11-01,automne,4,5.833333333333333,6.4125,10.3,3.1875,23.2125,87.5,3.4285714285714284,5022.0
11,Île-de-France,1955,12,1955-12-01,hiver,4,5.916666666666667,6.125,8.6625,3.75,59.699999999999996,92.0,4.8999999999999995,1878.0
11,Île-de-France,1956,1,1956-01-01,hiver,1,6.0,3.85,6.8,1.1625,59.5625,88.5,4.885714285714286,3037.5
11,Île-de-France,1956,2,1956-02-01,hiver,1,6.083333333333333,-4.4875,-0.325,-8.1875,10.125,74.0,4.771428571428571,6790.5
